BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 1 of 9
2048 throws, one word each, no rerolls                this page: 1-1-1 .. 1-15-8
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-1-1    abandon     1-4-11   also        1-8-5    attend      1-11-15  beyond
1-1-2    ability     1-4-12   alter       1-8-6    attitude    1-11-16  bicycle
1-1-3    able        1-4-13   always      1-8-7    attract     1-12-1   bid
1-1-4    about       1-4-14   amateur     1-8-8    auction     1-12-2   bike
1-1-5    above       1-4-15   amazing     1-8-9    audit       1-12-3   bind
1-1-6    absent      1-4-16   among       1-8-10   august      1-12-4   biology
1-1-7    absorb      1-5-1    amount      1-8-11   aunt        1-12-5   bird
1-1-8    abstract    1-5-2    amused      1-8-12   author      1-12-6   birth
1-1-9    absurd      1-5-3    analyst     1-8-13   auto        1-12-7   bitter
1-1-10   abuse       1-5-4    anchor      1-8-14   autumn      1-12-8   black
1-1-11   access      1-5-5    ancient     1-8-15   average     1-12-9   blade
1-1-12   accident    1-5-6    anger       1-8-16   avocado     1-12-10  blame
1-1-13   account     1-5-7    angle       1-9-1    avoid       1-12-11  blanket
1-1-14   accuse      1-5-8    angry       1-9-2    awake       1-12-12  blast
1-1-15   achieve     1-5-9    animal      1-9-3    aware       1-12-13  bleak
1-1-16   acid        1-5-10   ankle       1-9-4    away        1-12-14  bless
1-2-1    acoustic    1-5-11   announce    1-9-5    awesome     1-12-15  blind
1-2-2    acquire     1-5-12   annual      1-9-6    awful       1-12-16  blood
1-2-3    across      1-5-13   another     1-9-7    awkward     1-13-1   blossom
1-2-4    act         1-5-14   answer      1-9-8    axis        1-13-2   blouse
1-2-5    action      1-5-15   antenna     1-9-9    baby        1-13-3   blue
1-2-6    actor       1-5-16   antique     1-9-10   bachelor    1-13-4   blur
1-2-7    actress     1-6-1    anxiety     1-9-11   bacon       1-13-5   blush
1-2-8    actual      1-6-2    any         1-9-12   badge       1-13-6   board
1-2-9    adapt       1-6-3    apart       1-9-13   bag         1-13-7   boat
1-2-10   add         1-6-4    apology     1-9-14   balance     1-13-8   body
1-2-11   addict      1-6-5    appear      1-9-15   balcony     1-13-9   boil
1-2-12   address     1-6-6    apple       1-9-16   ball        1-13-10  bomb
1-2-13   adjust      1-6-7    approve     1-10-1   bamboo      1-13-11  bone
1-2-14   admit       1-6-8    april       1-10-2   banana      1-13-12  bonus
1-2-15   adult       1-6-9    arch        1-10-3   banner      1-13-13  book
1-2-16   advance     1-6-10   arctic      1-10-4   bar         1-13-14  boost
1-3-1    advice      1-6-11   area        1-10-5   barely      1-13-15  border
1-3-2    aerobic     1-6-12   arena       1-10-6   bargain     1-13-16  boring
1-3-3    affair      1-6-13   argue       1-10-7   barrel      1-14-1   borrow
1-3-4    afford      1-6-14   arm         1-10-8   base        1-14-2   boss
1-3-5    afraid      1-6-15   armed       1-10-9   basic       1-14-3   bottom
1-3-6    again       1-6-16   armor       1-10-10  basket      1-14-4   bounce
1-3-7    age         1-7-1    army        1-10-11  battle      1-14-5   box
1-3-8    agent       1-7-2    around      1-10-12  beach       1-14-6   boy
1-3-9    agree       1-7-3    arrange     1-10-13  bean        1-14-7   bracket
1-3-10   ahead       1-7-4    arrest      1-10-14  beauty      1-14-8   brain
1-3-11   aim         1-7-5    arrive      1-10-15  because     1-14-9   brand
1-3-12   air         1-7-6    arrow       1-10-16  become      1-14-10  brass
1-3-13   airport     1-7-7    art         1-11-1   beef        1-14-11  brave
1-3-14   aisle       1-7-8    artefact    1-11-2   before      1-14-12  bread
1-3-15   alarm       1-7-9    artist      1-11-3   begin       1-14-13  breeze
1-3-16   album       1-7-10   artwork     1-11-4   behave      1-14-14  brick
1-4-1    alcohol     1-7-11   ask         1-11-5   behind      1-14-15  bridge
1-4-2    alert       1-7-12   aspect      1-11-6   believe     1-14-16  brief
1-4-3    alien       1-7-13   assault     1-11-7   below       1-15-1   bright
1-4-4    all         1-7-14   asset       1-11-8   belt        1-15-2   bring
1-4-5    alley       1-7-15   assist      1-11-9   bench       1-15-3   brisk
1-4-6    allow       1-7-16   assume      1-11-10  benefit     1-15-4   broccoli
1-4-7    almost      1-8-1    asthma      1-11-11  best        1-15-5   broken
1-4-8    alone       1-8-2    athlete     1-11-12  betray      1-15-6   bronze
1-4-9    alpha       1-8-3    atom        1-11-13  better      1-15-7   broom
