BIP39 dice table -- throw 5d6, read left to right    page 1 of 45
1632 of 7776 throws say (reroll)  this page: 1-1-1-1-1 .. 1-1-5-5-6

1-1-1-1-1  abandon     1-1-2-4-5  also        1-1-4-2-3  attend
1-1-1-1-2  ability     1-1-2-4-6  alter       1-1-4-2-4  attitude
1-1-1-1-3  able        1-1-2-5-1  always      1-1-4-2-5  attract
1-1-1-1-4  about       1-1-2-5-2  amateur     1-1-4-2-6  auction
1-1-1-1-5  above       1-1-2-5-3  amazing     1-1-4-3-1  audit
1-1-1-1-6  absent      1-1-2-5-4  among       1-1-4-3-2  august
1-1-1-2-1  absorb      1-1-2-5-5  amount      1-1-4-3-3  aunt
1-1-1-2-2  abstract    1-1-2-5-6  amused      1-1-4-3-4  author
1-1-1-2-3  absurd      1-1-2-6-1  analyst     1-1-4-3-5  auto
1-1-1-2-4  abuse       1-1-2-6-2  anchor      1-1-4-3-6  autumn
1-1-1-2-5  access      1-1-2-6-3  ancient     1-1-4-4-1  average
1-1-1-2-6  accident    1-1-2-6-4  anger       1-1-4-4-2  avocado
1-1-1-3-1  account     1-1-2-6-5  angle       1-1-4-4-3  avoid
1-1-1-3-2  accuse      1-1-2-6-6  angry       1-1-4-4-4  awake
1-1-1-3-3  achieve     1-1-3-1-1  animal      1-1-4-4-5  aware
1-1-1-3-4  acid        1-1-3-1-2  ankle       1-1-4-4-6  away
1-1-1-3-5  acoustic    1-1-3-1-3  announce    1-1-4-5-1  awesome
1-1-1-3-6  acquire     1-1-3-1-4  annual      1-1-4-5-2  awful
1-1-1-4-1  across      1-1-3-1-5  another     1-1-4-5-3  awkward
1-1-1-4-2  act         1-1-3-1-6  answer      1-1-4-5-4  axis
1-1-1-4-3  action      1-1-3-2-1  antenna     1-1-4-5-5  baby
1-1-1-4-4  actor       1-1-3-2-2  antique     1-1-4-5-6  bachelor
1-1-1-4-5  actress     1-1-3-2-3  anxiety     1-1-4-6-1  bacon
1-1-1-4-6  actual      1-1-3-2-4  any         1-1-4-6-2  badge
1-1-1-5-1  adapt       1-1-3-2-5  apart       1-1-4-6-3  bag
1-1-1-5-2  add         1-1-3-2-6  apology     1-1-4-6-4  balance
1-1-1-5-3  addict      1-1-3-3-1  appear      1-1-4-6-5  balcony
1-1-1-5-4  address     1-1-3-3-2  apple       1-1-4-6-6  ball
1-1-1-5-5  adjust      1-1-3-3-3  approve     1-1-5-1-1  bamboo
1-1-1-5-6  admit       1-1-3-3-4  april       1-1-5-1-2  banana
1-1-1-6-1  adult       1-1-3-3-5  arch        1-1-5-1-3  banner
1-1-1-6-2  advance     1-1-3-3-6  arctic      1-1-5-1-4  bar
1-1-1-6-3  advice      1-1-3-4-1  area        1-1-5-1-5  barely
1-1-1-6-4  aerobic     1-1-3-4-2  arena       1-1-5-1-6  bargain
1-1-1-6-5  affair      1-1-3-4-3  argue       1-1-5-2-1  barrel
1-1-1-6-6  afford      1-1-3-4-4  arm         1-1-5-2-2  base
1-1-2-1-1  afraid      1-1-3-4-5  armed       1-1-5-2-3  basic
1-1-2-1-2  again       1-1-3-4-6  armor       1-1-5-2-4  basket
1-1-2-1-3  age         1-1-3-5-1  army        1-1-5-2-5  battle
1-1-2-1-4  agent       1-1-3-5-2  around      1-1-5-2-6  beach
1-1-2-1-5  agree       1-1-3-5-3  arrange     1-1-5-3-1  bean
1-1-2-1-6  ahead       1-1-3-5-4  arrest      1-1-5-3-2  beauty
1-1-2-2-1  aim         1-1-3-5-5  arrive      1-1-5-3-3  because
1-1-2-2-2  air         1-1-3-5-6  arrow       1-1-5-3-4  become
1-1-2-2-3  airport     1-1-3-6-1  art         1-1-5-3-5  beef
1-1-2-2-4  aisle       1-1-3-6-2  artefact    1-1-5-3-6  before
1-1-2-2-5  alarm       1-1-3-6-3  artist      1-1-5-4-1  begin
1-1-2-2-6  album       1-1-3-6-4  artwork     1-1-5-4-2  behave
1-1-2-3-1  alcohol     1-1-3-6-5  ask         1-1-5-4-3  behind
1-1-2-3-2  alert       1-1-3-6-6  aspect      1-1-5-4-4  believe
1-1-2-3-3  alien       1-1-4-1-1  assault     1-1-5-4-5  below
1-1-2-3-4  all         1-1-4-1-2  asset       1-1-5-4-6  belt
1-1-2-3-5  alley       1-1-4-1-3  assist      1-1-5-5-1  bench
1-1-2-3-6  allow       1-1-4-1-4  assume      1-1-5-5-2  benefit
1-1-2-4-1  almost      1-1-4-1-5  asthma      1-1-5-5-3  best
1-1-2-4-2  alone       1-1-4-1-6  athlete     1-1-5-5-4  betray
1-1-2-4-3  alpha       1-1-4-2-1  atom        1-1-5-5-5  better
1-1-2-4-4  already     1-1-4-2-2  attack      1-1-5-5-6  between

BIP39 dice table -- throw 5d6, read left to right    page 2 of 45
1632 of 7776 throws say (reroll)  this page: 1-1-5-6-1 .. 1-2-4-4-6

1-1-5-6-1  beyond      1-2-1-3-5  brown       1-2-3-1-3  cattle
1-1-5-6-2  bicycle     1-2-1-3-6  brush       1-2-3-1-4  caught
1-1-5-6-3  bid         1-2-1-4-1  bubble      1-2-3-1-5  cause
1-1-5-6-4  bike        1-2-1-4-2  buddy       1-2-3-1-6  caution
1-1-5-6-5  bind        1-2-1-4-3  budget      1-2-3-2-1  cave
1-1-5-6-6  biology     1-2-1-4-4  buffalo     1-2-3-2-2  ceiling
1-1-6-1-1  bird        1-2-1-4-5  build       1-2-3-2-3  celery
1-1-6-1-2  birth       1-2-1-4-6  bulb        1-2-3-2-4  cement
1-1-6-1-3  bitter      1-2-1-5-1  bulk        1-2-3-2-5  census
1-1-6-1-4  black       1-2-1-5-2  bullet      1-2-3-2-6  century
1-1-6-1-5  blade       1-2-1-5-3  bundle      1-2-3-3-1  cereal
1-1-6-1-6  blame       1-2-1-5-4  bunker      1-2-3-3-2  certain
1-1-6-2-1  blanket     1-2-1-5-5  burden      1-2-3-3-3  chair
1-1-6-2-2  blast       1-2-1-5-6  burger      1-2-3-3-4  chalk
1-1-6-2-3  bleak       1-2-1-6-1  burst       1-2-3-3-5  champion
1-1-6-2-4  bless       1-2-1-6-2  bus         1-2-3-3-6  change
1-1-6-2-5  blind       1-2-1-6-3  business    1-2-3-4-1  chaos
1-1-6-2-6  blood       1-2-1-6-4  busy        1-2-3-4-2  chapter
1-1-6-3-1  blossom     1-2-1-6-5  butter      1-2-3-4-3  charge
1-1-6-3-2  blouse      1-2-1-6-6  buyer       1-2-3-4-4  chase
1-1-6-3-3  blue        1-2-2-1-1  buzz        1-2-3-4-5  chat
1-1-6-3-4  blur        1-2-2-1-2  cabbage     1-2-3-4-6  cheap
1-1-6-3-5  blush       1-2-2-1-3  cabin       1-2-3-5-1  check
1-1-6-3-6  board       1-2-2-1-4  cable       1-2-3-5-2  cheese
1-1-6-4-1  boat        1-2-2-1-5  cactus      1-2-3-5-3  chef
1-1-6-4-2  body        1-2-2-1-6  cage        1-2-3-5-4  cherry
1-1-6-4-3  boil        1-2-2-2-1  cake        1-2-3-5-5  chest
1-1-6-4-4  bomb        1-2-2-2-2  call        1-2-3-5-6  chicken
1-1-6-4-5  bone        1-2-2-2-3  calm        1-2-3-6-1  chief
1-1-6-4-6  bonus       1-2-2-2-4  camera      1-2-3-6-2  child
1-1-6-5-1  book        1-2-2-2-5  camp        1-2-3-6-3  chimney
1-1-6-5-2  boost       1-2-2-2-6  can         1-2-3-6-4  choice
1-1-6-5-3  border      1-2-2-3-1  canal       1-2-3-6-5  choose
1-1-6-5-4  boring      1-2-2-3-2  cancel      1-2-3-6-6  chronic
1-1-6-5-5  borrow      1-2-2-3-3  candy       1-2-4-1-1  chuckle
1-1-6-5-6  boss        1-2-2-3-4  cannon      1-2-4-1-2  chunk
1-1-6-6-1  bottom      1-2-2-3-5  canoe       1-2-4-1-3  churn
1-1-6-6-2  bounce      1-2-2-3-6  canvas      1-2-4-1-4  cigar
1-1-6-6-3  box         1-2-2-4-1  canyon      1-2-4-1-5  cinnamon
1-1-6-6-4  boy         1-2-2-4-2  capable     1-2-4-1-6  circle
1-1-6-6-5  bracket     1-2-2-4-3  capital     1-2-4-2-1  citizen
