BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 1 of 9
2048 throws, one word each, no rerolls             this page: 1-1-1-1 .. 1-8-2-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-1-1-1  abandon     1-2-7-3  also        1-4-6-1  attend      1-6-4-3  beyond
1-1-1-2  ability     1-2-7-4  alter       1-4-6-2  attitude    1-6-4-4  bicycle
1-1-1-3  able        1-2-8-1  always      1-4-6-3  attract     1-6-5-1  bid
1-1-1-4  about       1-2-8-2  amateur     1-4-6-4  auction     1-6-5-2  bike
1-1-2-1  above       1-2-8-3  amazing     1-4-7-1  audit       1-6-5-3  bind
1-1-2-2  absent      1-2-8-4  among       1-4-7-2  august      1-6-5-4  biology
1-1-2-3  absorb      1-3-1-1  amount      1-4-7-3  aunt        1-6-6-1  bird
1-1-2-4  abstract    1-3-1-2  amused      1-4-7-4  author      1-6-6-2  birth
1-1-3-1  absurd      1-3-1-3  analyst     1-4-8-1  auto        1-6-6-3  bitter
1-1-3-2  abuse       1-3-1-4  anchor      1-4-8-2  autumn      1-6-6-4  black
1-1-3-3  access      1-3-2-1  ancient     1-4-8-3  average     1-6-7-1  blade
1-1-3-4  accident    1-3-2-2  anger       1-4-8-4  avocado     1-6-7-2  blame
1-1-4-1  account     1-3-2-3  angle       1-5-1-1  avoid       1-6-7-3  blanket
1-1-4-2  accuse      1-3-2-4  angry       1-5-1-2  awake       1-6-7-4  blast
1-1-4-3  achieve     1-3-3-1  animal      1-5-1-3  aware       1-6-8-1  bleak
1-1-4-4  acid        1-3-3-2  ankle       1-5-1-4  away        1-6-8-2  bless
1-1-5-1  acoustic    1-3-3-3  announce    1-5-2-1  awesome     1-6-8-3  blind
1-1-5-2  acquire     1-3-3-4  annual      1-5-2-2  awful       1-6-8-4  blood
1-1-5-3  across      1-3-4-1  another     1-5-2-3  awkward     1-7-1-1  blossom
1-1-5-4  act         1-3-4-2  answer      1-5-2-4  axis        1-7-1-2  blouse
1-1-6-1  action      1-3-4-3  antenna     1-5-3-1  baby        1-7-1-3  blue
1-1-6-2  actor       1-3-4-4  antique     1-5-3-2  bachelor    1-7-1-4  blur
1-1-6-3  actress     1-3-5-1  anxiety     1-5-3-3  bacon       1-7-2-1  blush
1-1-6-4  actual      1-3-5-2  any         1-5-3-4  badge       1-7-2-2  board
1-1-7-1  adapt       1-3-5-3  apart       1-5-4-1  bag         1-7-2-3  boat
1-1-7-2  add         1-3-5-4  apology     1-5-4-2  balance     1-7-2-4  body
1-1-7-3  addict      1-3-6-1  appear      1-5-4-3  balcony     1-7-3-1  boil
1-1-7-4  address     1-3-6-2  apple       1-5-4-4  ball        1-7-3-2  bomb
1-1-8-1  adjust      1-3-6-3  approve     1-5-5-1  bamboo      1-7-3-3  bone
1-1-8-2  admit       1-3-6-4  april       1-5-5-2  banana      1-7-3-4  bonus
1-1-8-3  adult       1-3-7-1  arch        1-5-5-3  banner      1-7-4-1  book
1-1-8-4  advance     1-3-7-2  arctic      1-5-5-4  bar         1-7-4-2  boost
1-2-1-1  advice      1-3-7-3  area        1-5-6-1  barely      1-7-4-3  border
1-2-1-2  aerobic     1-3-7-4  arena       1-5-6-2  bargain     1-7-4-4  boring
1-2-1-3  affair      1-3-8-1  argue       1-5-6-3  barrel      1-7-5-1  borrow
1-2-1-4  afford      1-3-8-2  arm         1-5-6-4  base        1-7-5-2  boss
1-2-2-1  afraid      1-3-8-3  armed       1-5-7-1  basic       1-7-5-3  bottom
1-2-2-2  again       1-3-8-4  armor       1-5-7-2  basket      1-7-5-4  bounce
1-2-2-3  age         1-4-1-1  army        1-5-7-3  battle      1-7-6-1  box
1-2-2-4  agent       1-4-1-2  around      1-5-7-4  beach       1-7-6-2  boy
1-2-3-1  agree       1-4-1-3  arrange     1-5-8-1  bean        1-7-6-3  bracket
1-2-3-2  ahead       1-4-1-4  arrest      1-5-8-2  beauty      1-7-6-4  brain
1-2-3-3  aim         1-4-2-1  arrive      1-5-8-3  because     1-7-7-1  brand
1-2-3-4  air         1-4-2-2  arrow       1-5-8-4  become      1-7-7-2  brass
1-2-4-1  airport     1-4-2-3  art         1-6-1-1  beef        1-7-7-3  brave
1-2-4-2  aisle       1-4-2-4  artefact    1-6-1-2  before      1-7-7-4  bread
1-2-4-3  alarm       1-4-3-1  artist      1-6-1-3  begin       1-7-8-1  breeze
1-2-4-4  album       1-4-3-2  artwork     1-6-1-4  behave      1-7-8-2  brick
1-2-5-1  alcohol     1-4-3-3  ask         1-6-2-1  behind      1-7-8-3  bridge
1-2-5-2  alert       1-4-3-4  aspect      1-6-2-2  believe     1-7-8-4  brief
1-2-5-3  alien       1-4-4-1  assault     1-6-2-3  below       1-8-1-1  bright
1-2-5-4  all         1-4-4-2  asset       1-6-2-4  belt        1-8-1-2  bring
1-2-6-1  alley       1-4-4-3  assist      1-6-3-1  bench       1-8-1-3  brisk
1-2-6-2  allow       1-4-4-4  assume      1-6-3-2  benefit     1-8-1-4  broccoli
1-2-6-3  almost      1-4-5-1  asthma      1-6-3-3  best        1-8-2-1  broken
1-2-6-4  alone       1-4-5-2  athlete     1-6-3-4  betray      1-8-2-2  bronze
1-2-7-1  alpha       1-4-5-3  atom        1-6-4-1  better      1-8-2-3  broom
1-2-7-2  already     1-4-5-4  attack      1-6-4-2  between     1-8-2-4  brother

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 2 of 9
2048 throws, one word each, no rerolls             this page: 1-8-3-1 .. 2-7-4-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-8-3-1  brown       2-2-1-3  cattle      2-3-8-1  clog        2-5-6-3  crazy
1-8-3-2  brush       2-2-1-4  caught      2-3-8-2  close       2-5-6-4  cream
1-8-3-3  bubble      2-2-2-1  cause       2-3-8-3  cloth       2-5-7-1  credit
1-8-3-4  buddy       2-2-2-2  caution     2-3-8-4  cloud       2-5-7-2  creek
1-8-4-1  budget      2-2-2-3  cave        2-4-1-1  clown       2-5-7-3  crew
1-8-4-2  buffalo     2-2-2-4  ceiling     2-4-1-2  club        2-5-7-4  cricket
1-8-4-3  build       2-2-3-1  celery      2-4-1-3  clump       2-5-8-1  crime
1-8-4-4  bulb        2-2-3-2  cement      2-4-1-4  cluster     2-5-8-2  crisp
1-8-5-1  bulk        2-2-3-3  census      2-4-2-1  clutch      2-5-8-3  critic
1-8-5-2  bullet      2-2-3-4  century     2-4-2-2  coach       2-5-8-4  crop
1-8-5-3  bundle      2-2-4-1  cereal      2-4-2-3  coast       2-6-1-1  cross
1-8-5-4  bunker      2-2-4-2  certain     2-4-2-4  coconut     2-6-1-2  crouch
1-8-6-1  burden      2-2-4-3  chair       2-4-3-1  code        2-6-1-3  crowd
1-8-6-2  burger      2-2-4-4  chalk       2-4-3-2  coffee      2-6-1-4  crucial
1-8-6-3  burst       2-2-5-1  champion    2-4-3-3  coil        2-6-2-1  cruel
1-8-6-4  bus         2-2-5-2  change      2-4-3-4  coin        2-6-2-2  cruise
1-8-7-1  business    2-2-5-3  chaos       2-4-4-1  collect     2-6-2-3  crumble
1-8-7-2  busy        2-2-5-4  chapter     2-4-4-2  color       2-6-2-4  crunch
1-8-7-3  butter      2-2-6-1  charge      2-4-4-3  column      2-6-3-1  crush
1-8-7-4  buyer       2-2-6-2  chase       2-4-4-4  combine     2-6-3-2  cry
1-8-8-1  buzz        2-2-6-3  chat        2-4-5-1  come        2-6-3-3  crystal
1-8-8-2  cabbage     2-2-6-4  cheap       2-4-5-2  comfort     2-6-3-4  cube
1-8-8-3  cabin       2-2-7-1  check       2-4-5-3  comic       2-6-4-1  culture
1-8-8-4  cable       2-2-7-2  cheese      2-4-5-4  common      2-6-4-2  cup
2-1-1-1  cactus      2-2-7-3  chef        2-4-6-1  company     2-6-4-3  cupboard
2-1-1-2  cage        2-2-7-4  cherry      2-4-6-2  concert     2-6-4-4  curious
2-1-1-3  cake        2-2-8-1  chest       2-4-6-3  conduct     2-6-5-1  current
2-1-1-4  call        2-2-8-2  chicken     2-4-6-4  confirm     2-6-5-2  curtain
2-1-2-1  calm        2-2-8-3  chief       2-4-7-1  congress    2-6-5-3  curve
2-1-2-2  camera      2-2-8-4  child       2-4-7-2  connect     2-6-5-4  cushion
2-1-2-3  camp        2-3-1-1  chimney     2-4-7-3  consider    2-6-6-1  custom
2-1-2-4  can         2-3-1-2  choice      2-4-7-4  control     2-6-6-2  cute
2-1-3-1  canal       2-3-1-3  choose      2-4-8-1  convince    2-6-6-3  cycle
2-1-3-2  cancel      2-3-1-4  chronic     2-4-8-2  cook        2-6-6-4  dad
2-1-3-3  candy       2-3-2-1  chuckle     2-4-8-3  cool        2-6-7-1  damage
2-1-3-4  cannon      2-3-2-2  chunk       2-4-8-4  copper      2-6-7-2  damp
2-1-4-1  canoe       2-3-2-3  churn       2-5-1-1  copy        2-6-7-3  dance
2-1-4-2  canvas      2-3-2-4  cigar       2-5-1-2  coral       2-6-7-4  danger
2-1-4-3  canyon      2-3-3-1  cinnamon    2-5-1-3  core        2-6-8-1  daring
2-1-4-4  capable     2-3-3-2  circle      2-5-1-4  corn        2-6-8-2  dash
2-1-5-1  capital     2-3-3-3  citizen     2-5-2-1  correct     2-6-8-3  daughter
2-1-5-2  captain     2-3-3-4  city        2-5-2-2  cost        2-6-8-4  dawn
2-1-5-3  car         2-3-4-1  civil       2-5-2-3  cotton      2-7-1-1  day
2-1-5-4  carbon      2-3-4-2  claim       2-5-2-4  couch       2-7-1-2  deal
2-1-6-1  card        2-3-4-3  clap        2-5-3-1  country     2-7-1-3  debate
2-1-6-2  cargo       2-3-4-4  clarify     2-5-3-2  couple      2-7-1-4  debris
2-1-6-3  carpet      2-3-5-1  claw        2-5-3-3  course      2-7-2-1  decade
2-1-6-4  carry       2-3-5-2  clay        2-5-3-4  cousin      2-7-2-2  december
2-1-7-1  cart        2-3-5-3  clean       2-5-4-1  cover       2-7-2-3  decide
2-1-7-2  case        2-3-5-4  clerk       2-5-4-2  coyote      2-7-2-4  decline
2-1-7-3  cash        2-3-6-1  clever      2-5-4-3  crack       2-7-3-1  decorate
2-1-7-4  casino      2-3-6-2  click       2-5-4-4  cradle      2-7-3-2  decrease
2-1-8-1  castle      2-3-6-3  client      2-5-5-1  craft       2-7-3-3  deer
2-1-8-2  casual      2-3-6-4  cliff       2-5-5-2  cram        2-7-3-4  defense
2-1-8-3  cat         2-3-7-1  climb       2-5-5-3  crane       2-7-4-1  define
2-1-8-4  catalog     2-3-7-2  clinic      2-5-5-4  crash       2-7-4-2  defy
2-2-1-1  catch       2-3-7-3  clip        2-5-6-1  crater      2-7-4-3  degree
2-2-1-2  category    2-3-7-4  clock       2-5-6-2  crawl       2-7-4-4  delay

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 3 of 9
2048 throws, one word each, no rerolls             this page: 2-7-5-1 .. 3-6-6-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

2-7-5-1  deliver     3-1-3-3  donor       3-3-2-1  embrace     3-4-8-3  exist
2-7-5-2  demand      3-1-3-4  door        3-3-2-2  emerge      3-4-8-4  exit
2-7-5-3  demise      3-1-4-1  dose        3-3-2-3  emotion     3-5-1-1  exotic
2-7-5-4  denial      3-1-4-2  double      3-3-2-4  employ      3-5-1-2  expand
2-7-6-1  dentist     3-1-4-3  dove        3-3-3-1  empower     3-5-1-3  expect
2-7-6-2  deny        3-1-4-4  draft       3-3-3-2  empty       3-5-1-4  expire
2-7-6-3  depart      3-1-5-1  dragon      3-3-3-3  enable      3-5-2-1  explain
2-7-6-4  depend      3-1-5-2  drama       3-3-3-4  enact       3-5-2-2  expose
2-7-7-1  deposit     3-1-5-3  drastic     3-3-4-1  end         3-5-2-3  express
2-7-7-2  depth       3-1-5-4  draw        3-3-4-2  endless     3-5-2-4  extend
2-7-7-3  deputy      3-1-6-1  dream       3-3-4-3  endorse     3-5-3-1  extra
2-7-7-4  derive      3-1-6-2  dress       3-3-4-4  enemy       3-5-3-2  eye
2-7-8-1  describe    3-1-6-3  drift       3-3-5-1  energy      3-5-3-3  eyebrow
2-7-8-2  desert      3-1-6-4  drill       3-3-5-2  enforce     3-5-3-4  fabric
2-7-8-3  design      3-1-7-1  drink       3-3-5-3  engage      3-5-4-1  face
2-7-8-4  desk        3-1-7-2  drip        3-3-5-4  engine      3-5-4-2  faculty
2-8-1-1  despair     3-1-7-3  drive       3-3-6-1  enhance     3-5-4-3  fade
2-8-1-2  destroy     3-1-7-4  drop        3-3-6-2  enjoy       3-5-4-4  faint
2-8-1-3  detail      3-1-8-1  drum        3-3-6-3  enlist      3-5-5-1  faith
2-8-1-4  detect      3-1-8-2  dry         3-3-6-4  enough      3-5-5-2  fall
2-8-2-1  develop     3-1-8-3  duck        3-3-7-1  enrich      3-5-5-3  false
2-8-2-2  device      3-1-8-4  dumb        3-3-7-2  enroll      3-5-5-4  fame
2-8-2-3  devote      3-2-1-1  dune        3-3-7-3  ensure      3-5-6-1  family
2-8-2-4  diagram     3-2-1-2  during      3-3-7-4  enter       3-5-6-2  famous
2-8-3-1  dial        3-2-1-3  dust        3-3-8-1  entire      3-5-6-3  fan
2-8-3-2  diamond     3-2-1-4  dutch       3-3-8-2  entry       3-5-6-4  fancy
2-8-3-3  diary       3-2-2-1  duty        3-3-8-3  envelope    3-5-7-1  fantasy
2-8-3-4  dice        3-2-2-2  dwarf       3-3-8-4  episode     3-5-7-2  farm
2-8-4-1  diesel      3-2-2-3  dynamic     3-4-1-1  equal       3-5-7-3  fashion
2-8-4-2  diet        3-2-2-4  eager       3-4-1-2  equip       3-5-7-4  fat
2-8-4-3  differ      3-2-3-1  eagle       3-4-1-3  era         3-5-8-1  fatal
2-8-4-4  digital     3-2-3-2  early       3-4-1-4  erase       3-5-8-2  father
2-8-5-1  dignity     3-2-3-3  earn        3-4-2-1  erode       3-5-8-3  fatigue
2-8-5-2  dilemma     3-2-3-4  earth       3-4-2-2  erosion     3-5-8-4  fault
2-8-5-3  dinner      3-2-4-1  easily      3-4-2-3  error       3-6-1-1  favorite
2-8-5-4  dinosaur    3-2-4-2  east        3-4-2-4  erupt       3-6-1-2  feature
2-8-6-1  direct      3-2-4-3  easy        3-4-3-1  escape      3-6-1-3  february
2-8-6-2  dirt        3-2-4-4  echo        3-4-3-2  essay       3-6-1-4  federal
2-8-6-3  disagree    3-2-5-1  ecology     3-4-3-3  essence     3-6-2-1  fee
2-8-6-4  discover    3-2-5-2  economy     3-4-3-4  estate      3-6-2-2  feed
2-8-7-1  disease     3-2-5-3  edge        3-4-4-1  eternal     3-6-2-3  feel
2-8-7-2  dish        3-2-5-4  edit        3-4-4-2  ethics      3-6-2-4  female
2-8-7-3  dismiss     3-2-6-1  educate     3-4-4-3  evidence    3-6-3-1  fence
2-8-7-4  disorder    3-2-6-2  effort      3-4-4-4  evil        3-6-3-2  festival
2-8-8-1  display     3-2-6-3  egg         3-4-5-1  evoke       3-6-3-3  fetch
2-8-8-2  distance    3-2-6-4  eight       3-4-5-2  evolve      3-6-3-4  fever
2-8-8-3  divert      3-2-7-1  either      3-4-5-3  exact       3-6-4-1  few
2-8-8-4  divide      3-2-7-2  elbow       3-4-5-4  example     3-6-4-2  fiber
3-1-1-1  divorce     3-2-7-3  elder       3-4-6-1  excess      3-6-4-3  fiction
3-1-1-2  dizzy       3-2-7-4  electric    3-4-6-2  exchange    3-6-4-4  field
3-1-1-3  doctor      3-2-8-1  elegant     3-4-6-3  excite      3-6-5-1  figure
3-1-1-4  document    3-2-8-2  element     3-4-6-4  exclude     3-6-5-2  file
3-1-2-1  dog         3-2-8-3  elephant    3-4-7-1  excuse      3-6-5-3  film
3-1-2-2  doll        3-2-8-4  elevator    3-4-7-2  execute     3-6-5-4  filter
3-1-2-3  dolphin     3-3-1-1  elite       3-4-7-3  exercise    3-6-6-1  final
3-1-2-4  domain      3-3-1-2  else        3-4-7-4  exhaust     3-6-6-2  find
3-1-3-1  donate      3-3-1-3  embark      3-4-8-1  exhibit     3-6-6-3  fine
3-1-3-2  donkey      3-3-1-4  embody      3-4-8-2  exile       3-6-6-4  finger

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 4 of 9
2048 throws, one word each, no rerolls             this page: 3-6-7-1 .. 4-5-8-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

