number,plate,slot
0000,2,118
0001,4,125
0002,8,98
0003,14,17
0004,8,143
0005,9,11
0006,11,72
0007,11,16
0008,1,25
0009,10,100
0010,2,65
0011,3,21
0012,1,84
0013,11,12
0014,10,94
0015,7,112
0016,4,30
0017,11,115
0018,6,54
0019,11,75
0020,5,24
0021,1,55
0022,5,3
0023,3,107
0024,2,31
0025,3,65
0026,1,8
0027,2,137
0028,1,134
0029,13,119
0030,1,85
0031,10,46
0032,12,97
0033,12,67
0034,11,132
0035,6,60
0036,2,112
0037,9,127
0038,5,123
0039,8,27
0040,6,4
0041,9,91
0042,1,21
0043,2,102
0044,5,37
0045,3,93
0046,7,4
0047,2,127
0048,7,137
0049,15,30
0050,5,10
0051,10,26
0052,13,77
0053,9,27
0054,8,144
0055,2,101
0056,4,51
0057,8,81
0058,5,58
0059,3,4
0060,11,73
0061,14,43
0062,10,111
0063,7,72
0064,2,67
0065,1,103
0066,10,14
0067,14,37
0068,2,70
0069,1,20
0070,4,34
0071,5,83
0072,13,20
0073,6,95
0074,14,125
0075,8,91
0076,8,62
0077,10,40
0078,8,52
0079,11,32
0080,7,36
0081,14,46
0082,10,68
0083,9,26
0084,1,34
0085,6,109
0086,6,11
0087,10,67
0088,5,142
0089,4,108
0090,15,10
0091,2,105
0092,10,69
0093,3,30
0094,5,126
0095,1,95
0096,6,70
0097,1,26
0098,5,6
0099,14,138
0100,8,28
0101,12,9
0102,12,11
0103,3,43
0104,12,38
0105,12,47
0106,5,144
0107,4,14
0108,6,58
0109,1,13
0110,12,77
0111,8,17
0112,12,60
0113,9,17
0114,7,34
0115,3,64
0116,4,72
0117,9,119
0118,14,27
0119,12,80
0120,8,33
0121,14,77
0122,12,57
0123,2,32
0124,1,35
0125,9,79
0126,9,37
0127,4,37
0128,4,46
0129,9,73
0130,12,31
0131,7,103
0132,9,30
0133,2,41
0134,12,23
0135,9,124
0136,5,54
0137,7,55
0138,14,69
0139,3,36
0140,7,26
0141,14,116
0142,1,14
0143,7,91
0144,2,80
0145,5,100
0146,2,25
0147,14,42
0148,1,128
0149,5,56
0150,13,142
0151,6,141
0152,11,113
0153,6,49
0154,1,41
0155,5,109
0156,13,45
0157,3,78
0158,13,90
0159,8,68
0160,8,120
0161,13,32
0162,14,6
0163,5,112
0164,13,17
0165,14,109
0166,12,59
0167,14,70
0168,7,16
0169,6,113
0170,13,36
0171,7,127
0172,2,131
0173,12,114
0174,10,78
0175,7,93
0176,2,119
0177,5,136
0178,9,18
0179,3,32
0180,12,131
0181,8,135
0182,12,134
0183,3,130
0184,14,31
0185,4,111
0186,11,65
0187,3,57
0188,3,116
0189,12,24
0190,5,95
0191,2,96
0192,4,15
0193,3,77
0194,2,63
0195,9,134
0196,10,22
0197,15,3
0198,2,85
0199,4,99
0200,8,72
0201,10,54
0202,3,20
0203,11,8
0204,4,6
0205,10,73
0206,15,14
0207,11,93
0208,5,40
0209,8,35
0210,13,19
0211,5,82
0212,9,104
0213,11,54
0214,11,121
0215,15,21
0216,8,46
0217,3,12
0218,10,19
0219,11,81
0220,8,18
0221,3,24
0222,13,123
0223,9,138
0224,14,98
0225,11,90
0226,10,10
0227,6,99
0228,6,64
0229,7,121
0230,10,60
0231,5,98
0232,11,45
0233,9,81
0234,8,64
0235,9,72
0236,2,136
0237,7,94
0238,12,37
0239,12,21
0240,13,112
0241,11,48
0242,14,102
0243,4,31
0244,8,19
0245,10,36
0246,11,114
0247,4,12
0248,2,64
0249,11,56
0250,13,13
0251,4,5
0252,12,73
0253,5,128
0254,5,104
0255,11,88
0256,2,75
0257,3,97
0258,10,116
0259,2,6
0260,1,87
0261,2,66
0262,3,142
0263,5,111
0264,2,139
0265,11,68
0266,11,35
0267,10,121
0268,12,79
0269,2,23
0270,9,40
0271,8,75
0272,12,63
0273,7,88
0274,10,75
0275,14,23
0276,6,87
0277,10,142
0278,14,48
0279,14,132
0280,12,133
0281,9,109
0282,11,100
0283,14,72
0284,3,2
0285,11,40
0286,1,137
0287,3,10
0288,10,41
0289,8,96
0290,10,98
0291,4,98
0292,14,99
0293,14,129
0294,14,119
0295,13,82
0296,7,44
0297,14,35
0298,10,77
0299,13,64
0300,8,36
0301,11,14
0302,4,9
0303,4,54
0304,6,56
0305,13,117
0306,14,141
0307,14,104
0308,13,47
0309,14,30
0310,7,70
0311,13,99
0312,11,69
0313,7,45
0314,8,47
0315,8,113
0316,11,103
